2025-05-06 11:15:50.456 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:15:50.456 | INFO     | __main__:<module>:9 - info
2025-05-06 11:17:55.912 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:17:55.912 | INFO     | __main__:<module>:9 - info
2025-05-06 11:18:30.744 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:18:30.744 | INFO     | __main__:<module>:9 - info
2025-05-06 11:21:13.883 | DEBUG    | __main__:<module>:7 - debug
2025-05-06 11:21:13.883 | INFO     | __main__:<module>:8 - info
2025-05-06 11:21:23.000 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:21:23.000 | INFO     | __main__:<module>:9 - info
2025-05-06 11:22:43.132 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:22:43.132 | INFO     | __main__:<module>:9 - info
2025-05-06 11:23:07.643 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:23:07.644 | INFO     | __main__:<module>:9 - info
2025-05-06 11:23:16.757 | DEBUG    | __main__:<module>:8 - debug
2025-05-06 11:23:16.757 | INFO     | __main__:<module>:9 - info
